,states,states,states,states,states,states,costs,costs,costs,costs,costs,costs,costs,costs,control,parameters,parameters,parameters,parameters
,T_room,T_surf_wall,T_op,T_mass,T_surf_floor,T_hp_ret,dev_neg_sum,dev_neg_max,dev_pos_sum,dev_pos_max,P_el,E_el,COP,Qdot_th,T_hp_sup,T_amb,Qdot_gains,Qdot_sol,Qdot_int
2016-01-01 00:00:00,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.825590456907854,1.3,1210.0,0.0,1210.0
2016-01-01 00:15:00,19.688419499163267,19.68622377242814,19.733517011983633,19.781674800536457,20.37256723504171,22.21798375325208,0.07133030770720886,0.3976970344107542,0.0,0.0,7791.882909624468,1947.970727406117,3.0336894369115854,23638.152876579657,42.825590456907854,1.3,1210.0,0.0,1210.0
2016-01-01 00:30:00,20.00977997158214,19.547349701133545,19.98280553099373,19.56725746986318,21.22366930932607,23.913320734878578,0.06882655633603124,0.31158050083673317,0.0,0.0,7025.25302451647,1756.3132561291175,3.0336894369115854,21312.435892106783,42.825590456907854,1.3,1210.0,0.0,1210.0
2016-01-01 00:45:00,20.33399955747742,19.460410107516996,20.242752508686642,19.370360807106373,22.02285690047729,25.271893547447867,0.0,0.0,0.0,0.0,6474.738243243397,1618.6845608108492,3.0336894369115854,19642.34501529497,42.825590456907854,1.3,1210.0,0.0,1210.0
2016-01-01 01:00:00,20.604161814919223,19.38658114364376,20.4591379166044,19.192421818502456,22.69033568966105,26.368311958032823,0.0,0.0,0.0,0.0,6014.671054166452,1503.6677635416133,3.0336894369115854,18246.644043522636,42.49860027785135,1.9,1210.0,0.0,1210.0
2016-01-01 01:15:00,20.835122881080675,19.325638214345812,20.64258485281395,19.03894280959004,23.23024879065186,27.22258303106534,0.0,0.0,0.0,0.0,5396.80744666591,1349.2018616664775,3.1102085588171184,16785.196710908273,42.49860027785135,1.9,1210.0,0.0,1210.0
2016-01-01 01:30:00,20.99586995631266,19.25931553281715,20.76777822957441,18.899870083711793,23.652434537473194,27.91664375184144,0.0,0.0,0.0,0.0,5115.404463668154,1278.8511159170384,3.1102085588171184,15909.974744711983,42.49860027785135,1.9,1210.0,0.0,1210.0
2016-01-01 01:45:00,21.114479787261335,19.190931360985143,20.857066066732422,18.77255715065406,23.985693471294304,28.477735161856298,0.0,0.0,0.0,0.0,4884.146862766928,1221.036715691732,3.1102085588171184,15190.715375097478,42.49860027785135,1.9,1210.0,0.0,1210.0
2016-01-01 02:00:00,21.20010255512397,19.121923550689896,20.91840252387056,18.655042927985278,24.248228601842097,28.92939120274047,0.0,0.0,0.0,0.0,4698.77272241167,1174.6931806029174,3.1102085588171184,14614.163137181187,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 02:15:00,21.27636132483793,19.062738618855633,20.971821214886575,18.55187693333261,24.455939146505667,29.26524518848975,0.0,0.0,0.0,0.0,4369.2202159767685,1092.3050539941921,3.1748723837284323,13871.716602132617,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 02:30:00,21.313349279988884,18.99939501851874,20.992992692731477,18.455805357084405,24.606840386273312,29.535834876877324,0.0,0.0,0.0,0.0,4259.695735298585,1064.9239338246462,3.1748723837284323,13523.990353085253,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 02:45:00,21.332669590984406,18.935326393957478,20.99913154926751,18.36541334110061,24.720300154825253,29.75128176180029,0.0,0.0,0.0,0.0,4172.0648363856,1043.0162090964,3.1748723837284323,13245.773432165122,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 03:00:00,21.338690114323025,18.87156667059924,20.994089899855425,18.279795694932943,24.804618950342288,29.921504593667507,0.0,0.0,0.0,0.0,4102.329207018485,1025.5823017546213,3.1748723837284323,13024.371708325549,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 03:15:00,21.334181497009205,18.80838774782119,20.980250289133,18.19827893231584,24.865491501024213,30.05484282128254,0.0,0.0,0.0,0.0,4047.2626059976287,1011.8156514994072,3.1748723837284323,12849.542277478638,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 03:30:00,21.321270570721197,18.745906343915124,20.959427023794944,18.12032123439779,24.907392160648662,30.158146380421453,0.0,0.0,0.0,0.0,4004.1584848203356,1001.0396212050839,3.1748723837284323,12712.692193527966,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 03:45:00,21.301668911734563,18.68419682828379,20.933077068894203,18.045478212564667,24.9339435612069,30.23701581043592,0.0,0.0,0.0,0.0,3970.7945609267736,992.6986402316934,3.1748723837284323,12606.765992945479,42.22559676971328,2.4,1210.0,0.0,1210.0
2016-01-01 04:00:00,21.276767772030404,18.62331338364041,20.90238372079571,17.973383404530573,24.948097362875018,30.296025488758584,0.0,0.0,0.0,0.0,3945.3541202698007,986.3385300674502,3.1748723837284323,12525.995840473774,42.17093834377673,2.5,1210.0,0.0,1210.0
2016-01-01 04:15:00,21.250275275561734,18.565280797105178,20.870485203848215,17.905362676078436,24.950904874456896,30.33151555508037,0.0,0.0,0.0,0.0,3892.8195298778655,973.2048824694664,3.187903464243814,12409.932864973624,42.17093834377673,2.5,1210.0,0.0,1210.0
2016-01-01 04:30:00,21.217448080490957,18.507606054956863,20.833609082719573,17.839677819241924,24.94431020328955,30.35508784729947,0.0,0.0,0.0,0.0,3881.2271046278747,970.3067761569686,3.187903464243814,12372.97733236019,42.17093834377673,2.5,1210.0,0.0,1210.0
2016-01-01 04:45:00,21.18286318369349,18.450399451750506,20.79532320907018,17.77531405061569,24.933386626144255,30.37225673260469,0.0,0.0,0.0,0.0,3873.7026931079813,968.4256732769953,3.187903464243814,12348.990234809526,42.17093834377673,2.5,1210.0,0.0,1210.0
2016-01-01 05:00:00,21.146341436534044,18.393999410668616,20.755530058720357,17.71272500423556,24.917367859857755,30.38136726006107,0.0,0.0,0.0,0.0,3868.2788831592406,967.0697207898102,3.187903464243814,12331.699652284535,41.95210658283301,2.9,1210.0,0.0,1210.0
2016-01-01 05:15:00,21.120685061125073,18.3458446140092,20.72496341036225,17.657115956328305,24.896801864588312,30.363140786131066,0.0,0.0,0.0,0.0,3732.671715367317,933.1679288418292,3.240356572010631,12095.187324048682,41.95210658283301,2.9,1210.0,0.0,1210.0
