datetime,T_room,T_surf_wall,T_op,T_mass,T_surf_floor,T_hp_ret,dev_neg_sum,dev_neg_max,dev_pos_sum,dev_pos_max,P_el,E_el,COP,Qdot_th,T_hp_sup,T_amb,Qdot_gains,Qdot_sol,Qdot_int
2016-01-01 00:00:00,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.3,1210.0,0.0,1210.0
2016-01-01 00:15:00,19.356807779708056,19.648119334044594,19.447460496211292,19.780286110403253,19.6970080870787,19.964165201924168,0.07621332291903671,0.6431922202919438,0.0,0.0,0.49450750497239937,0.12362687624309984,5.435999800000001,2.6881426981284626,37.554607191570824,1.3,1210.0,0.0,1210.0
2016-01-01 00:30:00,19.405808091932734,19.43181358143632,19.45449427435047,19.554378200467944,20.045081614936233,21.626779212770277,0.16127746525610298,0.6778854231232003,0.0,0.0,5217.159426412081,1304.2898566030203,3.488508807371711,18200.10660850089,21.626779212770277,1.3,1210.0,0.0,1210.0
2016-01-01 00:45:00,19.40375473910641,19.271282054922107,19.427262028360566,19.337778237498366,20.22001847256382,21.328536630860356,0.14730309442061745,0.5962452608935891,0.0,0.0,5.753517968400728,1.438379492100182,5.227542557275237,30.07676003386257,21.328536630860356,1.3,1210.0,0.0,1210.0
2016-01-01 01:00:00,19.241012405456633,19.087328828053803,19.260638743467347,19.129969578393293,20.07329999652724,21.08511023790713,0.15287516398921078,0.7589875945433668,0.0,0.0,5.368380804593549,1.3420952011483873,5.265331759070403,28.266305945210338,27.915646625261715,1.9,1210.0,0.0,1210.0
2016-01-01 01:15:00,19.17052407799059,18.913680335679548,19.171665047573434,18.93454316334931,20.086591719821904,21.531333330864943,0.18859366468847258,0.8294759220094114,0.0,0.0,1563.481839056239,390.8704597640598,4.5417677314536595,7100.971365339451,26.958426857862314,1.9,1210.0,0.0,1210.0
2016-01-01 01:30:00,19.128560893523375,18.75486591418398,19.111014206040615,18.745456742821272,20.173293008969857,21.76548484982472,0.20812144345183284,0.8714391064766254,0.0,0.0,1215.2829520234138,303.8207380058534,4.651800144327144,5653.2534116208335,27.545618233829384,1.9,1210.0,0.0,1210.0
2016-01-01 01:45:00,19.082423572668155,18.603261299060705,19.047984116081686,18.56334976244658,20.242899681497246,22.000884943684298,0.21886928185588742,0.917576427331845,0.0,0.0,1312.282469154944,328.070617288736,4.5840678356062305,6015.591858083104,29.090208960465333,1.9,1210.0,0.0,1210.0
2016-01-01 02:00:00,19.053041347170087,18.459838464807838,19.000400761789145,18.3890878342647,20.33964265472383,22.31873549901374,0.22999269635434644,0.9469586528299132,0.0,0.0,1674.7208613120972,418.6802153280243,4.409456014114113,7384.607973874994,29.99130882458995,2.4,1210.0,0.0,1210.0
2016-01-01 02:15:00,19.05874547627744,18.334354779607015,18.983719871950107,18.227240039010763,20.468728849713965,22.65830824506059,0.23424975655691313,0.9469586528299132,0.0,0.0,1832.5538185186692,458.1384546296673,4.363430300638899,7996.220859275879,30.144108400672813,2.4,1210.0,0.0,1210.0
2016-01-01 02:30:00,19.051279058241843,18.212749442143853,18.958104996253486,18.07222964015339,20.58852178475947,22.940560959854995,0.23524473698604476,0.9487209417581575,0.0,0.0,1794.751689232818,448.6879223082045,4.346592131245796,7801.053569959467,31.68754633111763,2.4,1210.0,0.0,1210.0
2016-01-01 02:45:00,19.054421353437473,18.098145781208803,18.9425599017342,17.92518712677001,20.723464080688736,23.29799118252461,0.23717940434797288,0.9492841138541515,0.0,0.0,2181.019552117727,545.2548880294318,4.179336225268399,9115.214022184275,32.5167171620847,2.4,1210.0,0.0,1210.0
2016-01-01 03:00:00,19.068109575710317,17.99117018502656,18.93713035343815,17.785083427183917,20.872709109020967,23.65553947308632,0.23606397476472352,0.9455786465625273,0.0,0.0,2347.819815901552,586.954953975388,4.091607135962772,9606.356312697591,33.25520574880882,2.4,1210.0,0.0,1210.0
2016-01-01 03:15:00,19.08731955843141,17.891049973483945,18.93745160944831,17.651766567633537,21.026243871001014,24.00736522588097,0.2325354271546092,0.9318904242896835,0.0,0.0,2492.0445407697257,623.0111351924314,4.0147228504778845,10004.868162236884,34.06486345781258,2.4,1210.0,0.0,1210.0
2016-01-01 03:30:00,19.111543454574566,17.79729233847287,18.9430167080056,17.525099725558096,21.18352116239604,24.362543458689633,0.2275767055629987,0.9126804415685896,0.0,0.0,2666.2385165721,666.559629143025,3.9317828707362423,10483.070928755391,34.822894902170745,2.4,1210.0,0.0,1210.0
2016-01-01 03:45:00,19.14012535014229,17.709646301707895,18.953231945957462,17.404961036558483,21.343400956890232,24.715876060513327,0.22142418229603142,0.8884565454254343,0.0,0.0,2828.2891281240654,707.0722820310164,3.8554148253712466,10904.227835005839,35.53274151592383,2.4,1210.0,0.0,1210.0
2016-01-01 04:00:00,19.171950173546826,17.62777912233541,18.967102975088682,17.291198568490298,21.50384087591462,25.063656558430104,0.21426200539439028,0.8598746498577086,0.0,0.0,2979.434127006343,744.8585317515857,3.78502649714349,11277.23711721259,36.210784503506765,2.5,1210.0,0.0,1210.0
2016-01-01 04:15:00,19.211569315487143,17.552668689050915,18.988313867248362,17.183852105290597,21.668889784432253,25.416815694393936,0.20595286137346014,0.8280498264531744,0.0,0.0,3119.228703312318,779.8071758280795,3.7283567405083167,11629.597361181497,36.66379500866436,2.5,1210.0,0.0,1210.0
2016-01-01 04:30:00,19.24857426285888,17.481992649306132,19.008335711886573,17.082429672324903,21.828031645708933,25.742672327565526,0.19604788093538486,0.788430684512857,0.0,0.0,3180.7762450416585,795.1940612604145,3.684584394723229,11719.838515586844,37.36878212731931,2.5,1210.0,0.0,1210.0
2016-01-01 04:45:00,19.284503896513804,17.416549649417597,19.028280653997335,16.988020345869423,21.978995123603482,26.055615895177084,0.18695463769226273,0.751425737141119,0.0,0.0,3351.9504179371766,837.9876044842941,3.6173463775104895,12125.165701919817,37.99735912163567,2.5,1210.0,0.0,1210.0
2016-01-01 05:00:00,19.321623395108684,17.35541762405728,19.04991485718214,16.89906509403862,22.12771552489047,26.365110756323123,0.1780232060047682,0.7154961034861955,0.0,0.0,3500.4446882332736,875.1111720583184,3.558301269439651,12455.63677774374,38.512420925889955,2.9,1210.0,0.0,1210.0
2016-01-01 05:15:00,19.374974716773124,17.30616753563295,19.08588423246971,16.82032638790868,22.279442586212493,26.66159972560322,0.1668389241538393,0.6783766048913158,0.0,0.0,3573.134565129355,893.2836412823387,3.547081288713612,12674.198758026185,38.44547313458996,2.9,1210.0,0.0,1210.0
2016-01-01 05:30:00,19.41138510954573,17.257468644664627,19.108893739760294,16.74548691468168,22.412722189848058,26.905234592931,0.15556193255880021,0.6252565928781557,0.0,0.0,3460.716381655868,865.179095413967,3.553304720206084,12296.979854232315,39.34141427895457,2.9,1210.0,0.0,1210.0
2016-01-01 05:45:00,19.44685614512769,17.211385269283383,19.131525821993925,16.676131939082104,22.541049363576313,27.177505864122914,0.1465793168095383,0.5886148904542701,0.0,0.0,3739.439986129234,934.8599965323085,3.4708206499131493,12978.925522968286,39.774844973695124,2.9,1210.0,0.0,1210.0
2016-01-01 06:00:00,19.4834655886723,17.1690406413676,19.15571270888097,16.611456569766673,22.667659707368834,27.432128621039436,0.13722953525323386,0.5531438548723102,0.0,0.0,3828.644809950599,957.1612024876499,3.431539502197603,13138.145905229316,40.100740728096525,3.0,931.7,0.0,931.7
2016-01-01 06:15:00,19.493908672657284,17.125692290053497,19.16017182227219,16.54974446276424,22.77661325599415,27.667483584967336,0.1328384791318555,0.5340421050584006,0.0,0.0,3877.9655286215316,969.491382155383,3.4111183987630875,13228.19956444993,41.33062970447254,3.0,931.7,0.0,931.7
2016-01-01 06:30:00,19.537971353779533,17.088192248003306,19.191421512129054,16.491521461830786,22.91395059923917,27.976451873827124,0.12577613901470003,0.5060913273427161,0.0,0.0,4316.843171350086,1079.2107928375215,3.302501836199356,14256.38249996831,40.671290185529884,3.0,931.7,0.0,931.7
2016-01-01 06:45:00,19.574020876686607,17.0542135155072,19.216463696873785,16.43689500758197,23.02998894362221,28.16276193080441,0.11479623772646032,0.46202864622046746,0.0,0.0,3944.4494008554325,986.1123502138581,3.3603245448825287,13254.630137741695,41.136592787646336,3.0,931.7,0.0,931.7
2016-01-01 07:00:00,19.602746041961325,17.02146104861555,19.235516684445425,16.385876728535674,23.128803155933063,28.358803843938755,0.10572459378140854,0.42621818862726,0.0,0.0,4079.168916554884,1019.792229138721,3.319420962720224,13540.478812089026,41.60179255084428,2.8,931.7,0.0,931.7
2016-01-01 07:15:00,19.623149373012946,16.98750955392861,19.24798124565853,16.33651588857127,23.220366829491862,28.54978284990993,0.10003279004199271,0.40157992062177783,0.0,0.0,4240.763315764433,1060.1908289411083,3.261862586736062,13832.787198894775,42.12902489893963,2.8,931.7,0.0,931.7
